City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
440,xai-xai,-25.0519,33.6442,19.89,74,0,5.81,MZ,2024-08-08 18:46:52
441,saldanha,-33.0117,17.9442,14.03,76,62,9.29,ZA,2024-08-08 18:46:53
442,soto la marina,23.7667,-98.2167,28.04,81,12,5.33,MX,2024-08-08 18:46:53
443,kotlas,61.2611,46.6556,13.36,96,100,1.75,RU,2024-08-08 18:46:53
444,sao joao da barra,-21.6403,-41.0511,22.98,84,0,7.26,BR,2024-08-08 18:46:53
445,keelung,25.1283,121.7419,32.97,66,38,2.78,TW,2024-08-08 18:46:54
446,nadi,-17.8,177.4167,28.0,47,40,5.66,FJ,2024-08-08 18:46:54
447,howard springs,-12.497,131.047,28.95,37,1,3.93,AU,2024-08-08 18:46:54
448,yorkton,51.2167,-102.4677,15.91,59,100,2.06,CA,2024-08-08 18:45:01
449,el bauga,18.262,33.9081,30.08,56,23,3.15,SD,2024-08-08 18:46:54
450,rania,29.5333,74.8333,28.33,82,0,4.44,IN,2024-08-08 18:46:55
451,pamanukan,-6.2842,107.8106,29.94,56,65,3.63,ID,2024-08-08 18:46:55
452,guymon,36.6828,-101.4816,23.0,73,100,3.09,US,2024-08-08 18:46:56
453,sadovoye,47.7764,44.5089,22.25,48,48,4.01,RU,2024-08-08 18:46:56
454,mocimboa,-11.3167,40.35,20.24,91,97,1.9,MZ,2024-08-08 18:46:56
455,outokumpu,62.7269,29.0159,10.94,81,6,0.73,FI,2024-08-08 18:46:56
456,mersing,2.4312,103.8405,26.95,94,20,0.51,MY,2024-08-08 18:46:57
457,jaithari,23.2333,78.6167,23.28,97,100,2.28,IN,2024-08-08 18:46:57
458,kanoya,31.3833,130.85,31.55,60,49,1.37,JP,2024-08-08 18:46:57
459,port alfred,-33.5906,26.891,17.79,44,0,9.03,ZA,2024-08-08 18:46:57
460,santa rosa misiones,-26.8667,-56.85,7.41,77,0,1.22,PY,2024-08-08 18:46:58
461,phalaborwa,-23.943,31.1411,20.6,46,0,2.23,ZA,2024-08-08 18:46:58
462,port-vila,-17.7338,168.3219,25.78,65,75,7.2,VU,2024-08-08 18:46:58
463,enoch,37.7733,-113.0244,20.14,75,20,1.54,US,2024-08-08 18:46:59
464,panaba,21.2833,-88.2667,25.69,83,21,3.16,MX,2024-08-08 18:46:59
465,matao,-21.6033,-48.3658,22.44,40,95,1.73,BR,2024-08-08 18:46:59
466,shohimardon,39.9839,71.8028,20.43,33,0,0.9,UZ,2024-08-08 18:46:59
467,westport,41.1415,-73.3579,20.81,94,100,7.2,US,2024-08-08 18:47:00
468,ormara,25.2088,64.6357,28.65,82,100,2.84,PK,2024-08-08 18:47:00
469,bani walid,31.7566,13.9942,24.45,86,0,2.31,LY,2024-08-08 18:47:00
470,kibre mengist,5.8833,38.9833,15.79,96,100,0.96,ET,2024-08-08 18:47:00
471,salym,60.0625,71.4789,10.86,79,100,2.77,RU,2024-08-08 18:47:01
